,ticker,company_name,merged_company_name,spac_name,completion_date,post-completion_events,total_return_since_SPAC_IPO_spactrack,annualized_return_spactrack,current_price_spactrack,percent_change_prev_spactrack,market_cap_spactrack,is_warrants_trading,SPAC_IPO_date,SPAC_IPO_size,SPAC_initial_target_industry,notable_leadership_/_sponsor,SPAC_underwriter(s),Status,open_after_completion_date,close_1yr_after_completion_date,1yr_after_completion_date,is_goldman_underwriter,is_earlybird_underwriter,is_deutsche_underwriter,is_cantor_underwriter,is_chardan_underwriter,is_I-Bankers_underwriter,is_citigroup_underwriter
10,SPCE,Virgin Galactic Holdings Inc,,Social Capital Hedosophia (IPOA),2019-10-25,,110.50%,,$21.05,-1.68%,"$4,923,440,166",False,2017-09-14,$690.00,Tech,"Richard Branson, Chamath Palihapitiya (Managing Partner, Social Capital)",Credit Suisse,Trading,12.34,,,False,False,False,False,False,False,False
11,VVNT,Vivint Smart Home,,Mosaic Acquisition Corp. (MOSC),2020-01-17,,95.50%,,$19.55,0.62%,"$3,639,259,795",True,2017-10-29,$345.00,,Fortress,"Deutsche Bank, RBC Capital Markets, J.P. Morgan",Trading,11.05,,,False,False,True,False,False,False,False
12,BWMX,Betterware De Mexico,,DD3 Acquisition Corp. (DDMX),2020-03-13,,92.00%,,$19.20,-2.88%,"$661,803,678",False,2018-10-11,$50.00,Mexico,,EarlyBirdCapital,Trading,8,,,False,True,False,False,False,False,False
13,VLDR,"Velodyne Lidar, Inc",,Graf Industrial Corp (GRAF),2020-09-29,,82.50%,,$18.25,7.86%,"$3,126,842,086",True,2018-06-12,$243.77,Industrial,James Graf,"EarlyBirdCapital, Oppenheimer",Trading,24.799999,,,False,True,False,False,False,False,False
14,UTZ,"Utz Brands, Inc","Utz Quality Foods, LLC",Collier Creek Holdings (CCH),2020-08-28,,79.80%,,$17.98,0.00%,"$1,067,455,851",True,2018-10-05,$440.00,Consumer Goods,Chinh Chu (Former Managing Director at Blackstone),"Citigroup, Credit Suisse, BofA Merrill Lynch",Trading,18.950001,,,False,False,False,False,False,False,True
15,VRT,Vertiv Holdings Co,Veritiv Holdings (Platinum Equity Portfolio Company),GS Acquisition Holdings Corp (GSAH),2020-02-10,,79.20%,,$17.92,-0.67%,"$5,883,494,114",True,2018-06-08,$600.00,,"Goldman Sachs, David Cote (Former CEO, Honeywell)",Goldman Sachs,Trading,13.75,,,True,False,False,False,False,False,False
16,WSC,WillScot Corporation,,Double Eagle Acquisition Corp (EAGL),2017-11-29,,79.00%,27.51%,$17.90,0.99%,"$4,080,763,921",False,2015-09-14,$500.00,"Media, Entertainment","Jeff Sagansky, Harry Sloan (Former CEO of MGM)","Deutsche Bank Securities, BofA Merrill Lynch",Trading,9.75,13.72,2018-11-29,False,False,True,False,False,False,False
17,LAZY,Lazydays Holdings Inc,Lazydays R.V. Center,Andina Acquisition Corp II (ANDA),2018-03-15,,49.60%,19.22%,$14.96,8.53%,"$143,806,851",True,2015-12-01,$40.60,Latin America,Julio Torres,EarlyBirdCapital,Trading,10.05,5.7,2019-03-15,False,True,False,False,False,False,False
18,IMXI,International Money Express Inc,Intermex Holdings II,FinTech Acquisition Corp II (FNTE),2018-07-26,,43.60%,19.67%,$14.36,1.16%,"$548,049,585",False,2017-01-19,$175.00,FinTech,"Betsy Cohen (Founder/Fmr CEO Bancorp), Daniel Cohen","Cantor Fitzgerald, Northland",Trading,9.9,14.07,2019-07-26,False,False,False,True,False,False,False
19,TWNK,Hostess Brands,,Gores Holdings I (GRSH),2016-11-04,,29.30%,7.44%,$12.93,1.41%,"$1,695,315,219",True,2015-08-14,$375.00,,Gores Group,Deutsche Bank,Trading,12.05,11.53,2017-11-06,False,False,True,False,False,False,False
20,IMTX,Immatics N.V.,Immatics Biotechnologies GmbH,ARYA Sciences Acquisition Corp (ARYA),2020-07-01,,23.70%,,$12.37,5.46%,"$816,981,482",True,2018-10-04,$143.75,Healthcare,Perceptive Advisors,"Jefferies, Chardan",Trading,15.75,,,False,False,False,False,True,False,False
21,BLBD,Blue Bird Corporation,School Bus Holdings,Hennessy Capital Acquisition Corp (HCAC),2015-02-24,,23.00%,4.08%,$12.30,-1.44%,"$333,912,505",False,2014-01-16,$115.00,,Daniel Hennessy,Deutsche Bank,Trading,9.97,8.56,2016-02-24,False,False,True,False,False,False,False
22,DMTK,DermTech Inc,,Constellation Alpha Capital Corp (CNAC),2019-08-30,,17.20%,15.35%,$11.72,-2.74%,"$228,553,366",True,2017-06-19,$143.75,"Healthcare, India","Rajiv Shukla (CEO, Alpha Healthcare Acq Corp)","Cowen, I-Bankers",Trading,5.48,11.77,2020-08-31,False,False,False,False,False,True,False
23,ACEL,Accel Entertainment Inc,,TPG Pace Holdings Corp (TPGH),2019-11-20,,12.50%,,$11.25,4.07%,"$1,034,406,510",True,2017-06-27,$450.00,,"TPG, Karl Peterson (Hotwire Founder)","Deutsche Bank, Goldman Sachs, J.P. Morgan",Trading,10.75,,,True,False,True,False,False,False,False
24,PACK,Ranpak Holdings Corp,,One Madison Corp. (OMAD),2018-12-13,,11.30%,6.17%,$11.13,1.92%,"$794,537,466",True,2018-01-17,$300.00,Consumer,,"Credit Suisse, BofA Securities",Trading,10.069,7.1,2019-12-13,False,False,False,False,False,False,False
25,VRRM,Verra Mobility Corp,,Gores Holdings II Inc (GSHT),2018-10-17,,7.00%,3.52%,$10.70,-0.37%,"$1,737,049,972",True,2017-01-12,$400.00,,Gores Group,Deutsche Bank,Trading,11.137,14.59,2019-10-17,False,False,True,False,False,False,False
26,BRMK,Broadmark Realty Capital Inc.,,Trinity Merger Corp. (TMCX),2019-11-14,,2.90%,,$10.29,0.68%,"$1,360,659,042",True,2018-05-14,$300.00,Real Estate,Trinity Investments,B. Riley FBR,Trading,10.3763,,,False,False,False,False,False,False,False
27,PAE,PAE Inc,PAE (Platinum Equity Portfolio Company),Gores Holdings III (GRSH),2020-02-10,,-5.10%,,$9.49,2.59%,"$875,306,507",True,2018-09-06,$375.00,,Gores Group,Deutsche Bank,Trading,11.15,,,False,False,True,False,False,False,False
28,MPLN,MultiPlan Corporation,,Churchill Capital III Corp (CCXX),2020-10-08,,-9.20%,,$9.08,-7.54%,"$1,243,687,510",True,2020-02-14,"$1,100.00",,Michael Klein (Former Co-CEO of Citi Markets and Banking),"Citigroup, Goldman Sachs",Trading,10.1,,,True,False,False,False,False,False,True
29,BROG,Brooge Holdings Limited,Brooge Holdings and Brooge Petroleum and Gas Investment Company,Twelve Seas Investment Corp. (TWLV),2019-12-20,,-9.20%,,$9.08,0.89%,"$995,059,031",True,2018-06-20,$180.00,Pan-Eurasia,,EarlyBirdCapital,Trading,10.4,,,False,True,False,False,False,False,False
30,ATCX,Atlas Technical Consultants,Atlas Intermediate Holdings,Boxwood Merger Corp (BWMC),2020-02-14,,-11.30%,,$8.87,-3.17%,"$263,808,964",True,2018-11-15,$200.00,"Technical Services, Industrial Services","Stephen Kadenacyhas (Former COO, AECOM)","BofA Merrill Lynch, Morgan Stanley, Macquarie Capital",Trading,10.48,,,False,False,False,False,False,False,False
31,GDYN,"Grid Dynamics Holdings, Inc",,ChaSerg Technology Acquisition Corp. (CTAC),2020-03-05,,-12.80%,,$8.72,2.71%,"$444,096,728",True,2018-10-04,$200.00,Tech,,Cantor Fitzgerald,Trading,12.49,,,False,False,False,True,False,False,False
32,NFH,New Frontier Health,United Family Healthcare,New Frontier Corporation (NFC),2019-12-19,,-13.40%,,$8.66,2.12%,"$1,256,843,963",True,2018-06-28,$250.00,"Healthcare, Tech, Education",,"Credit Suisse, UBS",Trading,9.63,,,False,False,False,False,False,False,False
33,GB,Global Blue Group,,Far Point Acquisition Corp (FPAC),2020-08-28,,-14.10%,,$8.59,-3.48%,"$1,441,631,862",True,2018-06-12,$632.50,"Fintech, Tech, Financial Services","Dan Loeb (Founder, Third Point), Thomas W. Farley (Ex-Intercontinental Exchange)","Credit Suisse, BofA Merrill Lynch",Trading,8.0,,,False,False,False,False,False,False,False
34,KLDI,KLDiscovery Inc,,Pivotal Acquisition Corp. (PVT),2019-12-20,,-15.00%,,$8.50,5.59%,"$722,993,300",True,2018-12-26,$200.00,"LogTech, Cyber Security","Jon Ledecky (co-owner, New York Islanders), Katrina Adams (Chairman, US Open and Former Pro Tennis Player), Efrat Epstein (Managing Partner of Sound Ventures)",Cantor Fitzgerald,Trading,9.9,,,False,False,False,True,False,False,False
35,PECK,The Peck Company Inc,Peck Electric Co,Jensyn Acquisiton Corp (JSYN),2019-02-27,,-16.30%,-10.03%,$8.37,-9.42%,"$44,662,141",True,2016-03-02,$39.00,Information Technology,,Chardan,Trading,18.6,3.3,2020-02-27,False,False,False,False,True,False,False
36,FREE,Whole Earth Brands Inc,"Merisant Company, MAFCO Worldwide (Subsidiaries of Flavors Holdings Inc.)",Act II Global Acquisition Corp (ACTT),2020-06-25,,-17.30%,,$8.27,2.29%,"$317,404,302",True,2019-04-25,$300.00,"Consumer packaged goods, Hospitality, Restaurants, Health and Wellness","Irwin Simon (Founder, Hain Celestial Group; Former Chairman, Aphria Inc)","JP Morgan, Cantor Fitzgerald",Trading,10.35,,,False,False,False,True,False,False,False
37,IGIC,International General Insuranc Hldgs Ltd,International General Insurance Holdings Ltd,Tiberius Acquisition Corporation (TIBR),2020-03-17,,-18.00%,,$8.20,1.99%,"$397,265,390",True,2018-03-15,$150.00,,,"Cantor Fitzgerald, Dowling and Partners",Trading,7.04,,,False,False,False,True,False,False,False
38,ALTG,Alta Equipment Group Inc,,B. Riley Principal Merger Corp (BRPM),2020-02-14,,-20.20%,,$7.98,-0.25%,"$236,386,000",True,2019-04-09,$143.80,,Kenneth Young (President of B. Riley Financial),"B. Riley FBR, Inc.",Trading,10.5,,,False,False,False,False,False,False,False
39,HYMC,Hycroft Mining Holding Corporation,,Mudrick Capital Acquisition Corporation (MUDS),2020-05-29,,-27.10%,,$7.29,-3.38%,"$435,231,169",True,2018-02-07,$200.00,Post-Restructured companies,,Cantor Fitzgerald,Trading,13.92,,,False,False,False,True,False,False,False
40,DMS,"Digital Media Solutions, Inc.",,Leo Holdings Corp. (LHC),2020-07-15,,-27.30%,,$7.27,-0.82%,"$234,129,977",True,2018-02-12,$200.00,,"Lyndon Lea (Founder, Lion Capital), Robert Bensoussan (Former CEO, Jimmy Choo), Lori Bush (Former CEO, Rodan + Fields)",Citigroup,Trading,10.6,,,False,False,False,False,False,False,True
